ID,Predict,True
15.0,16.53,13.1
34.0,21.19,15.99
23.0,19.64,16.56
52.0,19.64,20.43
48.0,32.83,27.41
44.0,39.81,32.8
42.0,49.9,48.19
21.0,46.79,54.9
45.0,49.9,61.5
60.0,63.09,66.49
6.0,68.52,73.88
5.0,72.4,80.01
